state,cms_certification_number_ccn,provider_name,address,city,zip,phone,type_of_ownership,offers_nursing_care_services,offers_physical_therapy_services,offers_occupational_therapy_services,offers_speech_pathology_services,offers_medical_social_services,offers_home_health_aide_services,date_certified,quality_of_patient_care_star_rating,footnote_for_quality_of_patient_care_star_rating,how_often_the_home_health_team_began_their_patients_care_in_157c,footnote_for_how_often_the_home_health_team_began_their_pat_f842,how_often_the_home_health_team_taught_patients_or_their_fam_3cba,footnote_for_how_often_the_home_health_team_taught_patients_bb7a,how_often_the_home_health_team_determined_whether_patients__0a91,footnote_for_how_often_the_home_health_team_determined_whet_035c,how_often_patients_got_better_at_walking_or_moving_around,footnote_for_how_often_patients_got_better_at_walking_or_mo_16c2,how_often_patients_got_better_at_getting_in_and_out_of_bed,footnote_for_how_often_patients_got_better_at_getting_in_an_3072,how_often_patients_got_better_at_bathing,footnote_for_how_often_patients_got_better_at_bathing,how_often_patients_breathing_improved,footnote_for_how_often_patients_breathing_improved,how_often_patients_got_better_at_taking_their_drugs_correct_b296,footnote_for_how_often_patients_got_better_at_taking_their__4b24,how_often_home_health_patients_had_to_be_admitted_to_the_ho_6ba7,footnote_for_how_often_home_health_patients_had_to_be_admit_fe3e,how_often_patients_receiving_home_health_care_needed_urgent_ac36,footnote_for_how_often_patients_receiving_home_health_care__7652,changes_in_skin_integrity_postacute_care_pressure_ulcerinjury,footnote_changes_in_skin_integrity_postacute_care_pressure__8209,how_often_physicianrecommended_actions_to_address_medicatio_7009,footnote_for_how_often_physicianrecommended_actions_to_addr_8191,dtc_numerator,dtc_denominator,dtc_observed_rate,dtc_riskstandardized_rate,dtc_riskstandardized_rate_lower_limit,dtc_riskstandardized_rate_upper_limit,dtc_performance_categorization,footnote_for_dtc_riskstandardized_rate,ppr_numerator,ppr_denominator,ppr_observed_rate,ppr_riskstandardized_rate,ppr_riskstandardized_rate_lower_limit,ppr_riskstandardized_rate_upper_limit,ppr_performance_categorization,footnote_for_ppr_riskstandardized_rate,how_much_medicare_spends_on_an_episode_of_care_at_this_agen_5868,footnote_for_how_much_medicare_spends_on_an_episode_of_care_aade,no_of_episodes_to_calc_how_much_medicare_spends_per_episode_2008
NY,337170,LONG ISLAND JEWISH MC CHHA,1983 MARCUS AVENUE,NEW HYDE PARK,11042,5163266500,VOLUNTARY NON-PROFIT - OTHER,No,No,No,No,Yes,No,03/26/1973,3.0,,99.5,,98.8,,79.4,,81.2,,81.3,,80.4,,79.0,,74.3,,17.4,,7.6,,0.1,,96.1,,5276,6477,81.46,90.95,90.05,92.36,Better Than National Rate,,290,7393,3.92,3.53,3.16,3.91,Same As National Rate,,0.92,,7600
NY,337213,PARKER JEWISH INST FOR HEALTH CARE & REHAB CHHA,271-11  76TH AVENUE,NEW HYDE PARK,11040,5165861500,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,No,Yes,No,07/08/1985,2.0,,99.1,,96.4,,93.1,,65.5,,66.1,,57.4,,54.8,,65.6,,10.7,,10.1,,1.8,,91.3,,318,381,83.46,99.06,94.95,103.19,Better Than National Rate,,13,297,4.38,3.49,2.63,4.75,Same As National Rate,,0.94,,444
NY,337438,ST MARY'S HOME CARE,"5 DAKOTA DRIVE,  SUITE 200",NEW HYDE PARK,11042,5164719300,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,No,Yes,No,02/09/2011,,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",100.0,This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs,80.8,This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs,43.5,This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs,,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, This measure currently does not have data or provider has been certified/recertified for less than 6 months.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, This measure currently does not have data or provider has been certified/recertified for less than 6 months.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",69.2,This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs,,,,,,,,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, This measure currently does not have data or provider has been certified/recertified for less than 6 months.",,,,,,,,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, This measure currently does not have data or provider has been certified/recertified for less than 6 months.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, This measure currently does not have data or provider has been certified/recertified for less than 6 months.",
NY,337143,"TENDER LOVING CARE, AN AMEDISYS COMPANY","100 GARDEN CITY PLAZA, SUITE 100",GARDEN CITY,11530,5169353737,PROPRIETARY,No,Yes,No,Yes,Yes,Yes,01/01/1968,4.5,,99.8,,100.0,,84.5,,94.3,,90.5,,93.8,,88.6,,95.9,,18.3,,11.6,,0.0,,95.3,,1197,1648,72.63,82.10,79.74,84.54,Better Than National Rate,,18,422,4.27,3.61,2.70,4.68,Same As National Rate,,1.18,,1909
NY,337148,NORTH SHORE HOME CARE CHHA,972 BRUSH HOLLOW ROAD,WESTBURY,11590,5168765300,VOLUNTARY NON-PROFIT - OTHER,No,No,No,No,Yes,No,09/19/1967,3.0,,98.9,,98.6,,79.3,,78.6,,80.1,,80.0,,79.7,,73.9,,16.2,,10.3,,0.1,,96.9,,18742,22601,82.93,88.24,87.73,89.09,Better Than National Rate,,677,22811,2.97,3.29,3.02,3.48,Better Than National Rate,,0.97,,24697
NY,337187,NYU LANGONE HEALTH HOME CARE,290 OLD COUNTRY ROAD,MINEOLA,11501,5166638000,VOLUNTARY NON-PROFIT - OTHER,No,No,Yes,Yes,Yes,No,07/08/1982,3.0,,99.3,,99.9,,80.3,,74.9,,84.0,,81.6,,87.3,,72.9,,15.6,,9.9,,0.1,,98.5,,3401,4107,82.81,88.26,87.22,89.76,Better Than National Rate,,145,4725,3.07,3.13,2.67,3.60,Same As National Rate,,0.98,,4959
NY,337237,FAMILY CARE CERTIFIED SERVICES (HEMPSTEAD),"50 CLINTON STREET, SUITE 601",HEMPSTEAD,11550,5169327799,PROPRIETARY,Yes,No,No,No,No,No,10/05/1987,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,11.8,,7.8,,,The number of patient episodes for this measure is too small to report.,,The number of patient episodes for this measure is too small to report.,138,178,77.53,81.68,74.91,87.71,Same As National Rate,,14,231,6.06,4.10,2.96,5.57,Same As National Rate,,0.98,,286
NY,337281,ABLE HEALTH CARE SERVICES INC CHHA,"50 CLINTON STREET, SUITE 208",HEMPSTEAD,11550,5169337000,PROPRIETARY,Yes,No,No,No,No,Yes,03/29/1991,,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,9,,,,,Not Available,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,8,,,,,Not Available,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",,"This agency provides services to a special needs population. For more information click here: https://profiles.health.ny.gov/home_care/special_needs, The number of patient episodes for this measure is too small to report.",13
NY,337289,KINDRED AT HOME  (WESTBURY),"865 MERRICK AVENUE, 3RD FLOOR",WESTBURY,11590,5167468013,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/31/1992,4.5,,100.0,,100.0,,90.1,,98.0,,95.2,,90.0,,90.4,,91.9,,18.9,,10.0,,0.0,,97.4,,997,1290,77.29,89.99,87.46,92.53,Better Than National Rate,,18,528,3.41,3.15,2.32,4.06,Same As National Rate,,1.11,,1835
NY,337014,VNS & HOSPICE OF SUFFOLK INC CHHA,505 MAIN STREET,NORTHPORT,11768,6312617200,VOLUNTARY NON-PROFIT - OTHER,No,Yes,Yes,Yes,Yes,No,07/01/1966,4.5,,99.9,,99.7,,84.9,,93.9,,92.8,,93.1,,90.5,,92.5,,20.6,,10.3,,0.2,,98.9,,2131,2692,79.16,87.99,86.42,89.81,Better Than National Rate,,89,2363,3.77,3.40,2.80,4.02,Same As National Rate,,1.06,,3764
